what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1522651269356
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522651271171
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522651282484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522651283876
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522651284763
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522651284835
started,bundle,org.eclipse.gef,3.5.1.v20090910-2020,"org.eclipse.gef",1522651285065
started,bundle,com.businessobjects.crystalreports.platformext.win32,12.2.214.r1733,"com.businessobjects.crystalreports.platformext.win32",1522651285194
started,bundle,com.businessobjects.crystalreports.designer.sdk,12.2.214.r1733,"com.businessobjects.crystalreports.designer.sdk",1522651285759
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1522651285760
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1522651285761
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1522651285780
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1522651285837
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1522651285849
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1522651285851
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.405.v200905022002,"org.eclipse.jst.server.generic.ui",1522651285853
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.506.v20090817,"org.eclipse.jst.server.generic.core",1522651285854
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.0.v200906020553,"org.eclipse.datatools.connectivity.oda.template.ui",1522651285856
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1522651285859
stopped,bundle,org.eclipse.pde.ds.ui,1.0.0.v20100209-maintenance,"org.eclipse.pde.ds.ui",1522651285878
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090731,"org.eclipse.pde.runtime",1522651285879
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1522651285930
stopped,bundle,org.eclipse.pde.ui.templates,3.4.100.v20090527,"org.eclipse.pde.ui.templates",1522651286352
